Titolo,Spotify_URL,Description,Id,Part,Category,Guest,Shownotes,Google_url,Guest_lower,GPT,Sottotitolo
"101_2 Virginia Stagni, la più giovane manager del Financial Times",https://open.spotify.com/episode/7u8HaBj4c89RgiwLsRCbrT,"Episodio sponsorizzato da Digital Combat Agency! Seconda parte dell'intervista a Virginia Stagni, Head of Business Development, FT Talent at Financial Times. Con Virginia tocchiamo tantissimi temi davvero interessanti:  la diversity nei team per avere rappresentazione equa di più punti di vista  il ruolo del giornale come piattaforma di valenza sociale  il tempo CON e PER noi stessi  il valore del tempo speso a PENSARE...  ... e come trovarlo nelle nostre giornate sempre di corsa  e molto altro! Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",101,2,INTERVISTA,Virginia Stagni,https://officeofcards.com/ospite/virginia-stagni/,https://podcasts.google.com/feed/aHR0cHM6Ly9mZWVkcy5tZWdhcGhvbmUuZm0vb2ZmaWNlb2ZjYXJkcw/episode/OTU5NWZmOTgtZjQ4Zi0xMWVkLWI1Y2UtMTMwNGE2MTc3ZGM1?sa=X&ved=2ahUKEwj9j7z8g_D_AhX7hv0HHXSvAOgQkfYCegQIARAF,virginia stagni,,
101_1 Virginia Stagni - Il lavoro deve essere un modo per esprimere il nostro potenziale,https://open.spotify.com/episode/2LnPd22gBRujaOu4cLlmz3,"Episodio sponsorizzato da Digital Combat Agency! Prima parte dell'intervista a Virginia Stagni, Head of Business Development, FT Talent at Financial Times. Con Virginia tocchiamo tantissimi temi davvero interessanti:  l'importanza di essere presenti in una società che ci addestra a essere sempre distratti  la voglia di lavorare e il ruolo della passione nel nostro percorso verso il successo  la differenza tra educare e istruire  il vantaggio della diversificazione per essere versatili in un mondo che evolve a velocità pazzesche  le side gigs...  e molto altro! Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",101,1,INTERVISTA,Virginia Stagni,https://officeofcards.com/ospite/virginia-stagni/,https://podcasts.google.com/feed/aHR0cHM6Ly9mZWVkcy5tZWdhcGhvbmUuZm0vb2ZmaWNlb2ZjYXJkcw/episode/MGRlMGUwNjgtZjQ4Zi0xMWVkLTlkYjMtYmIzODE2MTY5OWEx?sa=X&ved=2ahUKEwj9j7z8g_D_AhX7hv0HHXSvAOgQkfYCegQIARAF,virginia stagni,,
"100 Alberto Bezzi, Mi hanno rubato l'azienda e mi sono rialzato più forte di prima",https://open.spotify.com/episode/2hIPeOi3mIxAhjUaZl3seV,"Episodio sponsorizzato da Digital Combat Agency! Intervista ad Alberto Bezzi, founder di Concentrazione Con Alberto tocchiamo tantissimi temi davvero interessanti:  l'importanza di mettere anima e corpo, e passione, in quello che facciamo  l'importanza di capire gli aspetti tecnici di quello che facciamo e non delegarli completamente agli altri  sapersi rialzare dopo un KO clamoroso  l'importanza del network, delle referenze, di avere persone attorno a noi che parlano bene di noi quando non ci siamo  e molto altro! Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",100,1,INTERVISTA,Alberto Bezzi,https://officeofcards.com/ospite/alberto-bezzi/,https://podcasts.google.com/feed/aHR0cHM6Ly9mZWVkcy5tZWdhcGhvbmUuZm0vb2ZmaWNlb2ZjYXJkcw/episode/ZTIxMzU2YjQtZWYyZi0xMWVkLTg3MzYtYzMyZjA0ZWEzODU0?sa=X&ved=2ahUKEwj9j7z8g_D_AhX7hv0HHXSvAOgQkfYCegQIARAF,alberto bezzi,,
"099_2 Emanuele Maria Sacchi, performer trainer, prof. MBA, scrittore ed executive manager di Evolution Forum",https://open.spotify.com/episode/675kVIBZHvfI4IBTxAygDj,"Episodio sponsorizzato da Digital Combat Agency! Seconda parte dell'intervista a Emanuele Maria Sacchi, performer trainer, prof. MBA, scrittore ed executive manager di Evolution Forum Con Emanuele tocchiamo tantissimi temi davvero interessanti:  atteggiamenti inconsci che ci penalizzano agli occhi degli altri  cosa fare per essere più ""carismatici""  l'importanza del tono di voce e del linguaggio del corpo  l'importanza di fare pratica  e molto altro! Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",99,2,INTERVISTA,Emanuele Maria Sacchi,https://officeofcards.com/ospite/emanuele-maria-sacchi/,https://podcasts.google.com/feed/aHR0cHM6Ly9mZWVkcy5tZWdhcGhvbmUuZm0vb2ZmaWNlb2ZjYXJkcw/episode/Zjk3NzI0MjAtZWU3Yi0xMWVkLTg3MzctNWZiNzU2YjhiNmVm?sa=X&ved=2ahUKEwj9j7z8g_D_AhX7hv0HHXSvAOgQkfYCegQIARAF,emanuele maria sacchi,,
"099_1 Emanuele Maria Sacchi, Chi si accontenta, SBAGLIA!",https://open.spotify.com/episode/5PeMPUA1TKC3OQJm0v4zMt,"Episodio sponsorizzato da Digital Combat Agency! Prima parte dell'intervista a Emanuele Maria Sacchi, performer trainer, prof. MBA, scrittore ed executive manager di Evolution Forum Con Emanuele tocchiamo tantissimi temi davvero interessanti:  l'importanza di fare scuola  l'attenzione al cliente e i segreti della vendita  l'importanza di mettersi alla prova e USARE le cose che impariamo  il carisma  e molto altro! Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",99,1,INTERVISTA,Emanuele Maria Sacchi,https://officeofcards.com/ospite/emanuele-maria-sacchi/,https://podcasts.google.com/feed/aHR0cHM6Ly9mZWVkcy5tZWdhcGhvbmUuZm0vb2ZmaWNlb2ZjYXJkcw/episode/NGJmYjRjYWUtZWU3Yi0xMWVkLWIzZGMtNWJiMGNkZmI1MTVi?sa=X&ved=2ahUKEwj9j7z8g_D_AhX7hv0HHXSvAOgQkfYCegQIARAF,emanuele maria sacchi,,
"098_2 David Tacconi, CEO di Euleria Health",https://open.spotify.com/episode/0m1Nm7sNmtwTj6rgayQ7T1,"Seconda parte dell'intervista a David Tacconi, CEO di Euleria Health Con David tocchiamo tantissimi temi davvero interessanti:  la sensazione di ""gambe che tremano"" quando stiamo per prendere una decisione importante  l'importanza di riflettere sugli errori che abbiamo commesso per evitare di ripeterli  quando siamo in crisi la cosa importante da fare è non stare fermi  l'importanza di essere chiari coi nostri capi su cosa ci piace e cosa no del nostro lavoro  e molto altro! Trovi show notes e link discussi su https://it.officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",98,2,INTERVISTA,David Tacconi,https://officeofcards.com/ospite/david-tacconi/,https://podcasts.google.com/feed/aHR0cHM6Ly9mZWVkcy5tZWdhcGhvbmUuZm0vb2ZmaWNlb2ZjYXJkcw/episode/YjljYmM1YTItOTY3ZC0xMWVkLWJjN2ItN2JkNDM3MDFjYTkx?sa=X&ved=2ahUKEwj9j7z8g_D_AhX7hv0HHXSvAOgQkfYCegQIARAF,david tacconi,,
"098_1 David Tacconi, ""ho capito di non essere un animale da grande azienda""",https://open.spotify.com/episode/1crLCVwvl8M7OXzNtw9nxL,"Prima parte dell'intervista a David Tacconi, CEO di Euleria Health Con David tocchiamo tantissimi temi davvero interessanti:  vita in grande azienda vs vita in startup  come le idee per molte aziende nascono da un problema che ha il founder  la ricerca di capitali, errori e lessons learned  e molto altro! Trovi show notes e link discussi su https://it.officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",98,1,INTERVISTA,David Tacconi,https://officeofcards.com/ospite/david-tacconi/,https://podcasts.google.com/feed/aHR0cHM6Ly9mZWVkcy5tZWdhcGhvbmUuZm0vb2ZmaWNlb2ZjYXJkcw/episode/YWU3NDg2OTItOTY3YS0xMWVkLTk4YTAtNDNhZGFhODNhNzQx?sa=X&ved=2ahUKEwj9j7z8g_D_AhX7hv0HHXSvAOgQkfYCegQIARAF,david tacconi,,
097_3 La storia di Berkshire Hathaway (con Luca Lixi): oltre Warren Buffett e Charlie Munger,https://open.spotify.com/episode/4oYHTTFb5UwmaN3Kg1boeJ,Terza parte della storia di Berkshire Hathaway con Luca Lixi Trovi show notes e link discussi su https://it.officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices,97,3,INTERVISTA,Luca Lixi,https://officeofcards.com/ospite/davide-cervellin-e-luca-lixi/,https://podcasts.google.com/feed/aHR0cHM6Ly9mZWVkcy5tZWdhcGhvbmUuZm0vb2ZmaWNlb2ZjYXJkcw/episode/NGRhNGI5MDQtOTU4MC0xMWVkLTg5N2EtN2Y4MzA2MDczNTg2?sa=X&ved=2ahUKEwj9j7z8g_D_AhX7hv0HHXSvAOgQkfYCegQIARAF,luca lixi,,
097_2 La storia di Berkshire Hathaway (con Luca Lixi): Warren Buffett e Charlie Munger,https://open.spotify.com/episode/5Uh0y3nTM2RLKa4FvVaFC7,Seconda parte della storia di Berkshire Hathaway con Luca Lixi Trovi show notes e link discussi su https://it.officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices,97,2,INTERVISTA,Luca Lixi,https://officeofcards.com/ospite/davide-cervellin-e-luca-lixi/,https://podcasts.google.com/feed/aHR0cHM6Ly9mZWVkcy5tZWdhcGhvbmUuZm0vb2ZmaWNlb2ZjYXJkcw/episode/MWRjMDE4MzItOTU4MC0xMWVkLWIyNGMtZTNlOTQ3MGZmMDNi?sa=X&ved=2ahUKEwj9j7z8g_D_AhX7hv0HHXSvAOgQkfYCegQIARAF,luca lixi,,
097_1 La storia di Berkshire Hathaway (con Luca Lixi): Warren Buffett,https://open.spotify.com/episode/0zSYOgChzY9L3LHLmRw82n,Prima parte della storia di Berkshire Hathaway con Luca Lixi Trovi show notes e link discussi su https://it.officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices,97,1,INTERVISTA,Luca Lixi,https://officeofcards.com/ospite/davide-cervellin-e-luca-lixi/,https://podcasts.google.com/feed/aHR0cHM6Ly9mZWVkcy5tZWdhcGhvbmUuZm0vb2ZmaWNlb2ZjYXJkcw/episode/Y2JlZTNlMzAtOTU3Zi0xMWVkLWE5MTctOWZjYzNmYTNmOWQ4?sa=X&ved=2ahUKEwj9j7z8g_D_AhX7hv0HHXSvAOgQkfYCegQIARAF,luca lixi,,
