Titolo,Spotify_URL,Description,Id
Il potere delle abitudini - Usare la gratificazione per motivarsi - Pillole di Office of Cards,https://open.spotify.com/episode/2ZFG8hGAptDmPF5xMnOojK,"Questa pillola è stata presa dall'episodio 1 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",1
Francesco Sordi - Cosa mi ha insegnato lo sport - Pillole di Office of Cards,https://open.spotify.com/episode/5TB9wtZMsav9w42gqLeBA1,"Questa pillola è stata presa dall'episodio 57 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",57
Luca Pagni - Cerca problemi e trova soluzioni - Pillole di Office of Cards,https://open.spotify.com/episode/573ByLQz8jZxFDT1dU4G0t,"Questa pillola è stata presa dall'episodio 14 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",14
Marco Ottonello - Dream life plan - Pillole di Office of Cards,https://open.spotify.com/episode/2Si5QNoxz29FuG4XprTvQW,"Questa pillola è stata presa dall'episodio 83 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",83
Le 7 regole per avere successo - Inizia pensando alla fine - Pillole di Office of Cards,https://open.spotify.com/episode/0pBYpobyfhheJSR5C8CGKO,"Questa pillola è stata presa dall'episodio 16 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",16
Arlinda Laska - Di scuse per non imparare le cose ce ne sono poche - Pillole di Office of Cards,https://open.spotify.com/episode/4nZNNaVKMpZ3qoaAdFk4mx,"Questa pillola è stata presa dall'episodio 25 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",25
Il potere delle abitudini - Le abitudini creano bisogni - Pillole di Office of Cards,https://open.spotify.com/episode/6S0DveIvx3noEyDMyJ0Brc,"Questa pillola è stata presa dall'episodio 1 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",1
Francesco Sordi - Libera te stesso dal giudizio degli altri - Pillole di Office of Cards,https://open.spotify.com/episode/7HC3ZqUAhn4W75qCUZgjEF,"Questa pillola è stata presa dall'episodio 57 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",57
Luca Pagni - Quale contributo posso dare a me stesso e al mio paese - Pillole di Office of Cards,https://open.spotify.com/episode/4O0QPlyGC2ZNq63VE9KENQ,"Questa pillola è stata presa dall'episodio 14 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",14
Le 7 regole per avere successo - Come individuare le aree sotto il proprio controllo - Pillole di Office of Cards,https://open.spotify.com/episode/0pjibdpHmFZyzdmG691GYk,"Questa pillola è stata presa dall'episodio 16 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",16
